service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20240221,20241214
000002,0,0,0,0,0,0,0,20240221,20241214
000003,0,0,0,0,0,0,0,20240221,20241214
000004,0,0,0,0,0,0,0,20240221,20241214
000005,0,0,0,0,0,0,0,20240221,20241214
000006,0,0,0,0,0,0,0,20240221,20241214
000007,0,0,0,0,0,0,0,20240221,20241214
000008,0,0,0,0,0,0,0,20240221,20241214
000009,0,0,0,0,0,0,0,20240221,20241214
000010,0,0,0,0,0,0,0,20240221,20241214
000011,0,0,0,0,0,0,0,20240221,20241214
000012,0,0,0,0,0,0,0,20240221,20241214
000013,0,0,0,0,0,0,0,20240221,20241214
000014,0,0,0,0,0,0,0,20240221,20241214
000015,0,0,0,0,0,0,0,20240221,20241214
000016,0,0,0,0,0,0,0,20240221,20241214
000017,0,0,0,0,0,0,0,20240221,20241214
000018,0,0,0,0,0,0,0,20240221,20241214
000019,0,0,0,0,0,0,0,20240221,20241214
000020,0,0,0,0,0,0,0,20240221,20241214
000021,0,0,0,0,0,0,0,20240221,20241214
000022,0,0,0,0,0,0,0,20240221,20241214
000023,0,0,0,0,0,0,0,20240221,20241214
000024,0,0,0,0,0,0,0,20240221,20241214
000025,0,0,0,0,0,0,0,20240221,20241214
000026,0,0,0,0,0,0,0,20240221,20241214
000027,0,0,0,0,0,0,0,20240221,20241214
000028,0,0,0,0,0,0,0,20240221,20241214
000029,0,0,0,0,0,0,0,20240221,20241214
000030,0,0,0,0,0,0,0,20240221,20241214
000031,0,0,0,0,0,0,0,20240221,20241214
000032,0,0,0,0,0,0,0,20240221,20241214
000033,0,0,0,0,0,0,0,20240221,20241214
000034,0,0,0,0,0,0,0,20240221,20241214
000035,0,0,0,0,0,0,0,20240221,20241214
000036,0,0,0,0,0,0,0,20240221,20241214
000037,0,0,0,0,0,0,0,20240221,20241214
000038,0,0,0,0,0,0,0,20240221,20241214
000039,0,0,0,0,0,0,0,20240221,20241214
000040,0,0,0,0,0,0,0,20240221,20241214
000041,0,0,0,0,0,0,0,20240221,20241214
000042,0,0,0,0,0,0,0,20240221,20241214
000043,0,0,0,0,0,0,0,20240221,20241214
000044,0,0,0,0,0,0,0,20240221,20241214
000046,0,0,0,0,0,0,0,20240221,20241214
000047,0,0,0,0,0,0,0,20240221,20241214
000048,0,0,0,0,0,0,0,20240221,20241214
000049,0,0,0,0,0,0,0,20240221,20241214
000050,0,0,0,0,0,0,0,20240221,20241214
000051,0,0,0,0,0,0,0,20240221,20241214
000052,0,0,0,0,0,0,0,20240221,20241214
000053,0,0,0,0,0,0,0,20240221,20241214
